Metric,Value
compression_ratio,3.773732119635891
average,1.50168
median,1.5
std_dev,0.56451
mode,1.5
max,4.0
alpha,13
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,535916
