Metric,Value
compression_ratio,4.49923896499239
average,1.56548
median,1.5
std_dev,0.6151
mode,1.5
max,5.0
alpha,25
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,816376
