Metric,Value
compression_ratio,3.496535796766744
average,1.43155
median,1.5
std_dev,0.53057
mode,1.5
max,4.0
alpha,19
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,781029
