Metric,Value
compression_ratio,1.0514223194748358
average,1.01063
median,1.0
std_dev,0.09484
mode,1.0
max,3.0
alpha,3
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,747354
