Metric,Value
compression_ratio,3.232861806311208
average,1.41305
median,1.5
std_dev,0.52363
mode,1.5
max,4.0
alpha,31
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,858873
