Metric,Value
compression_ratio,2.495860927152318
average,1.31138
median,1.0
std_dev,0.47303
mode,1.0
max,4.0
alpha,45
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,871702
