Metric,Value
compression_ratio,2.616474756421612
average,1.34219
median,1.0
std_dev,0.49446
mode,1.0
max,4.0
alpha,45
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,387689
