Metric,Value
compression_ratio,3.641025641025641
average,1.46494
median,1.5
std_dev,0.54456
mode,1.5
max,4.0
alpha,17
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,934483
