Metric,Value
compression_ratio,2.2688172043010755
average,1.27475
median,1.0
std_dev,0.43814
mode,1.0
max,4.0
alpha,5
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,746282
