Metric,Value
compression_ratio,2.693014705882353
average,1.32773
median,1.0
std_dev,0.47714
mode,1.0
max,4.0
alpha,35
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,843976
