Metric,Value
compression_ratio,4.101283880171184
average,1.51913
median,1.5
std_dev,0.58089
mode,1.5
max,4.0
alpha,11
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,173143
