Metric,Value
compression_ratio,3.8004956629491944
average,1.44968
median,1.5
std_dev,0.54057
mode,1.5
max,4.0
alpha,25
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,526316
