Metric,Value
compression_ratio,3.193688792165397
average,1.42356
median,1.5
std_dev,0.53578
mode,1.5
max,4.0
alpha,33
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,87295
