Metric,Value
compression_ratio,2.0800273597811216
average,1.23291
median,1.0
std_dev,0.41504
mode,1.0
max,3.0
alpha,7
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,574857
