Metric,Value
compression_ratio,1.0650866643084542
average,1.01276
median,1.0
std_dev,0.10942
mode,1.0
max,3.0
alpha,3
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,500491
