Metric,Value
compression_ratio,2.586206896551724
average,1.31029
median,1.0
std_dev,0.4676
mode,1.0
max,4.0
alpha,45
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,656983
