Metric,Value
compression_ratio,2.722323049001815
average,1.33572
median,1.0
std_dev,0.49142
mode,1.0
max,4.0
alpha,49
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,839898
