Metric,Value
compression_ratio,3.748435544430538
average,1.47725
median,1.5
std_dev,0.56861
mode,1.5
max,4.0
alpha,31
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,656657
