Metric,Value
compression_ratio,3.5353293413173654
average,1.45588
median,1.5
std_dev,0.54096
mode,1.5
max,4.0
alpha,15
vertex_count,200
edge_probability,0.15
graph_type,unweighted
graph_seed,47189
