Metric,Value
compression_ratio,13.297039159503344
average,1.7207
median,2.0
std_dev,0.56108
mode,2.0
max,3.0
alpha,5
vertex_count,200
edge_probability,0.7
graph_type,unweighted
graph_seed,159660
