Metric,Value
compression_ratio,6.754716981132075
average,1.44555
median,1.0
std_dev,0.51657
mode,1.0
max,3.0
alpha,49
vertex_count,200
edge_probability,0.5
graph_type,unweighted
graph_seed,863743
