Metric,Value
compression_ratio,2.7156626506024097
average,1.58122
median,2.0
std_dev,0.49336
mode,2.0
max,2.0
alpha,35
vertex_count,50
edge_probability,0.9
graph_type,unweighted
graph_seed,824494
