Metric,Value
compression_ratio,1.2540983606557377
average,1.16316
median,1.0
std_dev,0.36951
mode,1.0
max,2.0
alpha,35
vertex_count,20
edge_probability,0.8
graph_type,unweighted
graph_seed,495265
