Metric,Value
compression_ratio,2.673469387755102
average,1.55263
median,1.0
std_dev,0.67072
mode,1.0
max,3.0
alpha,5
vertex_count,20
edge_probability,0.7
graph_type,unweighted
graph_seed,356643
