Metric,Value
compression_ratio,4.308695652173913
average,1.41204
median,1.0
std_dev,0.57547
mode,1.0
max,4.0
alpha,5
vertex_count,200
edge_probability,0.25
graph_type,unweighted
graph_seed,10165
