Metric,Value
compression_ratio,15.919354838709678
average,1.83333
median,2.0
std_dev,0.53852
mode,2.0
max,3.0
alpha,5
vertex_count,150
edge_probability,0.8
graph_type,unweighted
graph_seed,960708
