Metric,Value
compression_ratio,1.2374727668845316
average,1.11579
median,1.0
std_dev,0.29741
mode,1.0
max,5.0
alpha,15
vertex_count,150
edge_probability,0.05
graph_type,unweighted
graph_seed,864968
