Metric,Value
compression_ratio,5.506007067137809
average,1.57069
median,2.0
std_dev,0.49514
mode,2.0
max,3.0
alpha,49
vertex_count,150
edge_probability,0.7
graph_type,unweighted
graph_seed,96947
