Metric,Value
compression_ratio,1.6571428571428573
average,1.36316
median,1.0
std_dev,0.48091
mode,1.0
max,2.0
alpha,25
vertex_count,20
edge_probability,0.9
graph_type,unweighted
graph_seed,973601
