Metric,Value
compression_ratio,36.012968299711815
average,1.89947
median,2.0
std_dev,0.54459
mode,2.0
max,3.0
alpha,7
vertex_count,250
edge_probability,0.8
graph_type,unweighted
graph_seed,729251
