Metric,Value
compression_ratio,2.1542857142857144
average,1.36816
median,1.0
std_dev,0.5746
mode,1.0
max,4.0
alpha,5
vertex_count,50
edge_probability,0.3
graph_type,unweighted
graph_seed,107581
