Metric,Value
compression_ratio,1.3478260869565217
average,1.17105
median,1.0
std_dev,0.3748
mode,1.0
max,2.0
alpha,25
vertex_count,20
edge_probability,0.7
graph_type,unweighted
graph_seed,240432
