Metric,Value
compression_ratio,1.1122560841920632
average,1.02575
median,1.0
std_dev,0.15836
mode,1.0
max,2.0
alpha,3
vertex_count,200
edge_probability,0.25
graph_type,unweighted
graph_seed,931462
