Metric,Value
compression_ratio,1.9968334388853706
average,1.26379
median,1.0
std_dev,0.39553
mode,1.0
max,4.0
alpha,7
vertex_count,250
edge_probability,0.1
graph_type,unweighted
graph_seed,218843
