Metric,Value
compression_ratio,1.2270408163265305
average,1.09663
median,1.0
std_dev,0.28239
mode,1.0
max,4.0
alpha,25
vertex_count,100
edge_probability,0.1
graph_type,unweighted
graph_seed,441084
