Metric,Value
compression_ratio,1.1517722775447472
average,1.10569
median,1.0
std_dev,0.30743
mode,1.0
max,2.0
alpha,3
vertex_count,300
edge_probability,0.8
graph_type,unweighted
graph_seed,173033
