Metric,Value
compression_ratio,3.6271676300578033
average,1.48451
median,1.5
std_dev,0.63263
mode,1.0
max,4.0
alpha,25
vertex_count,100
edge_probability,0.25
graph_type,unweighted
graph_seed,999936
