Metric,Value
compression_ratio,23.37995337995338
average,1.90438
median,2.0
std_dev,0.41354
mode,2.0
max,3.0
alpha,7
vertex_count,150
edge_probability,0.9
graph_type,unweighted
graph_seed,396926
