Metric,Value
compression_ratio,2.2047477744807122
average,1.3431
median,1.0
std_dev,0.51124
mode,1.0
max,4.0
alpha,15
vertex_count,100
edge_probability,0.15
graph_type,unweighted
graph_seed,927054
