Metric,Value
compression_ratio,2.5723431498079385
average,1.39765
median,1.5
std_dev,0.50248
mode,1.0
max,4.0
alpha,25
vertex_count,200
edge_probability,0.1
graph_type,unweighted
graph_seed,367959
