Metric,Value
compression_ratio,9.979757085020243
average,1.72828
median,1.5
std_dev,0.74786
mode,1.0
max,4.0
alpha,7
vertex_count,100
edge_probability,0.5
graph_type,unweighted
graph_seed,853102
