Metric,Value
compression_ratio,27.13539651837524
average,1.90618
median,2.0
std_dev,0.6664
mode,2.0
max,4.0
alpha,7
vertex_count,200
edge_probability,0.7
graph_type,unweighted
graph_seed,606275
