Metric,Value
compression_ratio,35.262423714036615
average,1.91003
median,2.0
std_dev,0.38022
mode,2.0
max,3.0
alpha,5
vertex_count,300
edge_probability,0.9
graph_type,unweighted
graph_seed,341808
