Metric,Value
compression_ratio,1.4485714285714286
average,1.19263
median,1.0
std_dev,0.40141
mode,1.0
max,4.0
alpha,15
vertex_count,100
edge_probability,0.1
graph_type,unweighted
graph_seed,513081
