Metric,Value
compression_ratio,2.1964285714285716
average,1.34041
median,1.0
std_dev,0.55479
mode,1.0
max,4.0
alpha,7
vertex_count,50
edge_probability,0.3
graph_type,unweighted
graph_seed,12533
