Metric,Value
compression_ratio,1.3184931506849316
average,1.1207
median,1.0
std_dev,0.28865
mode,1.0
max,3.0
alpha,5
vertex_count,150
edge_probability,0.1
graph_type,unweighted
graph_seed,47170
