Metric,Value
compression_ratio,1.0549242424242424
average,1.02098
median,1.0
std_dev,0.12472
mode,1.0
max,3.0
alpha,3
vertex_count,150
edge_probability,0.1
graph_type,unweighted
graph_seed,595642
