Metric,Value
compression_ratio,1.0126582278481013
average,1.00734
median,1.0
std_dev,0.08087
mode,1.0
max,3.0
alpha,5
vertex_count,50
edge_probability,0.05
graph_type,unweighted
graph_seed,9281
