Metric,Value
compression_ratio,1.0769230769230769
average,1.06316
median,1.0
std_dev,0.24325
mode,1.0
max,2.0
alpha,3
vertex_count,20
edge_probability,0.9
graph_type,unweighted
graph_seed,168827
