Metric,Value
compression_ratio,5.980343980343981
average,1.50545
median,1.0
std_dev,0.59346
mode,1.0
max,4.0
alpha,15
vertex_count,100
edge_probability,0.5
graph_type,unweighted
graph_seed,934259
