Metric,Value
compression_ratio,7.539067231980618
average,1.40146
median,1.0
std_dev,0.53935
mode,1.0
max,3.0
alpha,49
vertex_count,250
edge_probability,0.4
graph_type,unweighted
graph_seed,486518
