Metric,Value
compression_ratio,1.0457516339869282
average,1.03684
median,1.0
std_dev,0.18837
mode,1.0
max,2.0
alpha,49
vertex_count,20
edge_probability,0.8
graph_type,unweighted
graph_seed,146989
