Metric,Value
compression_ratio,9.010652463382158
average,1.56362
median,2.0
std_dev,0.52943
mode,2.0
max,3.0
alpha,25
vertex_count,150
edge_probability,0.6
graph_type,unweighted
graph_seed,441168
