Metric,Value
compression_ratio,10.126768534238822
average,1.8104
median,2.0
std_dev,0.39198
mode,2.0
max,2.0
alpha,35
vertex_count,200
edge_probability,0.9
graph_type,unweighted
graph_seed,660123
